recId,Table Name,Field Name,Field Type,Field Options
recBtYO22GeHs1kbg,Schools,Name,singleLineText,
recJbjYagzqvoNvuK,Schools,Prior Names,multilineText,
recRLskEC2e5c6fTV,Schools,Opened,date,
recqfMdlLmc4l7zYn,Schools,Logo URL,url,
recxAfPgKApg2jkVH,Schools,Governance Model,singleSelect,"Independent, District, Charter, Exploring Charter, Community Partnership"
recJw9xs0NIE4vCh8,Schools,Ages served,multipleSelects,"Parent-child, Infants, Toddlers, Primary, Lower Elementary, Upper Elementary, Adolescent / JH, High School"
reccss9UF15EJmkrk,Schools,School calendar,singleSelect,"9-month, 10-month, Year-round"
recUVDamSZoMgGY4W,Schools,School schedule,multipleSelects,"Before Care;Morning Care;Afternoon Care;After Care, Before Care, Morning Care, Afternoon Care, After Care"
recOpN4rrwoY5aK9m,Schools,Left Network Date,date,
recRxZw9ps7sK1ZAI,Schools,Left Network Reason,multipleSelects,"Program absorbed, Disaffiliated, Role Alignment, WF Alignment, Organizational Sustainability, Partnership, No TL Identified, No Montessori Training, Personal Reasons, Facility"
rec7yNtFvAvREbBuo,Schools,Membership Agreement date,date,
recKzoplu94tnMYoV,Schools,Email Domain,singleLineText,
reckYXOS77nmPdPRW,Schools,School Phone,phoneNumber,
recyMdPHGS6sfjH5k,Schools,Facebook,singleLineText,
recxgsDZwUABXswNH,Schools,Instagram,singleLineText,
rec6n43CGuJao3Uj1,Schools,Website,url,
recOKWAOWnzppge3J,Schools,Locations,multipleRecordLinks,Locations
recUaQLlg6ZU5jdNU,Schools,Current Mailing Address,multipleLookupValues,
recvfKd7nAr961Fq0,Schools,Primary Contacts,multipleRecordLinks,Educators
recjCSFXUExB0Wzdl,Schools,Charter,multipleRecordLinks,Charters
recDALAnPmEJSvlbx,Schools,Signed Membership Agreement,multipleAttachments,
recjPUjlK7JVPupAv,Schools,Logo,multipleAttachments,
recoImQAvtEf2QscO,Schools,TC school ID,singleLineText,
recDk7WrAsOaDra2b,Schools,Educators x Schools,multipleRecordLinks,Educators x Schools
recOjmfNRzs4q4UQ2,Schools,Founders,rollup,
rec74vZtfXT5Szv6z,Schools,Current TLs,rollup,
rec3R9Rq3r4j7ZEYQ,Schools,Planning album,multipleAttachments,
recz00l1LDll5Zjpo,Schools,Guide assignments,multipleRecordLinks,Guides Assignments
recR1tVZSk7z6qogM,Schools,Business Insurance,singleSelect,"Alliant, other, other (in process w/ Alliant)"
rectzwiH04Ffewp7T,Schools,QBO,singleSelect,"internal license - active, internal license - closed out, external license , other accounting software, Not WF - Unknown software"
recUN7CqcHWvBhz67,Schools,Gusto,singleSelect,"yes (under WF), no, yes (independent), yes, no- local system"
recokHc5nMjkyX3v0,Schools,TC Recordkeeping,singleSelect,yes (under WF)
recEFi8Gfk0KOWUvF,Schools,TC Admissions,singleSelect,"yes, v1"
recVftYH87sEEOA2w,Schools,Admissions System,singleSelect,"TC, Other, School Cues"
recT8AK2fssuPy4cE,Schools,Transparent Classroom,singleSelect,"Internal license, External license, Other record keeping system, Internal License - removed"
recdasNBIKFuW0DcR,Schools,Budget Utility,singleSelect,WF v4
recLQkdCmrrEsr1Z6,Schools,Website tool,singleSelect,"external platform, wordpress original, wordpress v1, wordpress v2, Wix v1, Wix v2"
recb17p2a8FnILO7Z,Schools,Google Voice,singleSelect,internal license
recKHjrCbO2YEjG8D,Schools,Nonprofit status,singleSelect,"group exemption, independent, for profit, Partnership, Under Charter 501c3"
recXzWI1d9zxy5iDo,Schools,Logo designer,singleSelect,"internal design, external design"
reca77TagXNrrHDBF,Schools,Domain Name,singleSelect,"internal, external"
recEnHnx4Fo7yqw9Z,Schools,On national website,singleSelect,"added, ready to add , ready to remove, removed"
reci7ca4mmobesKqy,Schools,Membership Status,singleSelect,"Member school, Affiliated non-member, Membership terminated"
recRQYHgEsx8osKwx,Schools,School Email,email,
recTf0m6LrZGpeP2V,Schools,Institutional partner,singleLineText,
recy7sxKDTCmFPxKK,Schools,Trademark filed,singleSelect,Yes
recDIkcyHXt34tBlU,Schools,Name Selection Proposal,url,
recUWCJbyIVIUxzMe,Schools,Loans,multipleRecordLinks,Loans
