,Q2 2022,Risk Rating,AG Risk Rating,Q3 2022,Risk Rating,Q4 2022,Risk Rating,Q1 2023,Risk Rating,Q2 2023,Risk Rating,Q3 2023,Risk Rating,Q4 2023,Risk Rating,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026,Q3 2026,Q4 2026
,,,,,,Due 8/15,,Due 11/15,,Due 2/15,,Due 5/15,,Due 8/15,,Due 11/15,Due 2/15,Due 5/15,Due 8/15,Due 11/15,Due 2/15,Due 5/15,Due 8/15,Due 11/15,Due 2/15,Due 5/15,Due 8/15
Acacia,,,,,,,,,,Received,1-Moderate,Received,1-Moderate,Received,2-Substantial Risk,Received,Received,Received,Received,Received,Received,Received,,,,,
Allium,Received,1-Moderate,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Alyssum,Received,1-Moderate,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Aster,,,,,,,,Received,,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Trout Lily,,,,,,,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Azalea Primary,,,,,,,,,,,,,,,,,,,,,Received,Received,,,,,
Bergamot,,,,,,,,,,,,,,,,,,,,Received,Received,Received,,,,,
Blazing Stars,,,,,,,,,,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Capucine,Received,1-Moderate,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Clover,Received,2-Substantial Risk,2-Substantial Risk,Received,2-Substantial Risk,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,,,,,,
Cosmos,N/A,,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,,Received,1-Moderate,"""We will not have Q4 till after August 24th, when our board meets.""",1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Dahlia NJ,Received,1-Moderate,1-Moderate,Received,1-Moderate,Received,2-Substantial Risk,Received,2-Substantial Risk,Received,2-Substantial Risk,Received,2-Substantial Risk,Received,1-Moderate,Sent Q2 instead,Received,Received,Received,Received,Received,Received,,,,,
Dahlia SF,Received,1-Moderate,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,,Received,1-Moderate,Received,1-Moderate,Received,1-Moderate,Received,Received,Received,Received,Received,Received,Received,,,,,
Dahlia SF Elementary,,,,,,,1-Moderate,Received,,Received,,Received,2-Substantial Risk,Received,1-Moderate,Received,,Received,Received,Received,Coming soon,,,,,,
